"","x"
"174",1601-04-13
"175",1601-07-13
"176",1602-09-13
"177",1602-12-13
"178",1603-06-13
"179",1604-02-13
"180",1604-08-13
"181",1605-05-13
"182",1606-01-13
"183",1606-10-13
"184",1607-04-13
"185",1607-07-13
"186",1608-06-13
"187",1609-02-13
"188",1609-03-13
"189",1609-11-13
"190",1610-08-13
"191",1611-05-13
"192",1612-01-13
"193",1612-04-13
"194",1612-07-13
"195",1613-09-13
"196",1613-12-13
"197",1614-06-13
"198",1615-02-13
"199",1615-03-13
"200",1615-11-13
"201",1616-05-13
"202",1617-01-13
"203",1617-10-13
"204",1618-04-13
"205",1618-07-13
"206",1619-09-13
"207",1619-12-13
"208",1620-03-13
"209",1620-11-13
"210",1621-08-13
"211",1622-05-13
"212",1623-01-13
"213",1623-10-13
"214",1624-09-13
"215",1624-12-13
"216",1625-06-13
"217",1626-02-13
"218",1626-03-13
"219",1626-11-13
"220",1627-08-13
"221",1628-10-13
"222",1629-04-13
"223",1629-07-13
"224",1630-09-13
"225",1630-12-13
"226",1631-06-13
"227",1632-02-13
"228",1632-08-13
"229",1633-05-13
"230",1634-01-13
"231",1634-10-13
"232",1635-04-13
"233",1635-07-13
"234",1636-06-13
"235",1637-02-13
"236",1637-03-13
"237",1637-11-13
"238",1638-08-13
"239",1639-05-13
"240",1640-01-13
"241",1640-04-13
"242",1640-07-13
"243",1641-09-13
"244",1641-12-13
"245",1642-06-13
"246",1643-02-13
"247",1643-03-13
"248",1643-11-13
"249",1644-05-13
"250",1645-01-13
"251",1645-10-13
"252",1646-04-13
"253",1646-07-13
"254",1647-09-13
"255",1647-12-13
"256",1648-03-13
"257",1648-11-13
"258",1649-08-13
"259",1650-05-13
"260",1651-01-13
"261",1651-10-13
"262",1652-09-13
"263",1652-12-13
"264",1653-06-13
"265",1654-02-13
"266",1654-03-13
"267",1654-11-13
"268",1655-08-13
"269",1656-10-13
"270",1657-04-13
"271",1657-07-13
"272",1658-09-13
"273",1658-12-13
"274",1659-06-13
"275",1660-02-13
"276",1660-08-13
"277",1661-05-13
"278",1662-01-13
"279",1662-10-13
"280",1663-04-13
"281",1663-07-13
"282",1664-06-13
"283",1665-02-13
"284",1665-03-13
"285",1665-11-13
"286",1666-08-13
"287",1667-05-13
"288",1668-01-13
"289",1668-04-13
"290",1668-07-13
"291",1669-09-13
"292",1669-12-13
"293",1670-06-13
"294",1671-02-13
"295",1671-03-13
"296",1671-11-13
"297",1672-05-13
"298",1673-01-13
"299",1673-10-13
"300",1674-04-13
"301",1674-07-13
"302",1675-09-13
"303",1675-12-13
"304",1676-03-13
"305",1676-11-13
"306",1677-08-13
"307",1678-05-13
"308",1679-01-13
"309",1679-10-13
"310",1680-09-13
"311",1680-12-13
"312",1681-06-13
"313",1682-02-13
"314",1682-03-13
"315",1682-11-13
"316",1683-08-13
"317",1684-10-13
"318",1685-04-13
"319",1685-07-13
"320",1686-09-13
"321",1686-12-13
"322",1687-06-13
"323",1688-02-13
"324",1688-08-13
"325",1689-05-13
"326",1690-01-13
"327",1690-10-13
"328",1691-04-13
"329",1691-07-13
"330",1692-06-13
"331",1693-02-13
"332",1693-03-13
"333",1693-11-13
"334",1694-08-13
"335",1695-05-13
"336",1696-01-13
"337",1696-04-13
"338",1696-07-13
"339",1697-09-13
"340",1697-12-13
"341",1698-06-13
"342",1699-02-13
"343",1699-03-13
"344",1699-11-13
"345",1700-08-13
"346",1701-05-13
"347",1702-01-13
"348",1702-10-13
"349",1703-04-13
"350",1703-07-13
"351",1704-06-13
"352",1705-02-13
"353",1705-03-13
"354",1705-11-13
"355",1706-08-13
"356",1707-05-13
"357",1708-01-13
"358",1708-04-13
"359",1708-07-13
"360",1709-09-13
"361",1709-12-13
"362",1710-06-13
"363",1711-02-13
"364",1711-03-13
"365",1711-11-13
"366",1712-05-13
"367",1713-01-13
"368",1713-10-13
"369",1714-04-13
"370",1714-07-13
"371",1715-09-13
"372",1715-12-13
"373",1716-03-13
"374",1716-11-13
"375",1717-08-13
"376",1718-05-13
"377",1719-01-13
"378",1719-10-13
"379",1720-09-13
"380",1720-12-13
"381",1721-06-13
"382",1722-02-13
"383",1722-03-13
"384",1722-11-13
"385",1723-08-13
"386",1724-10-13
"387",1725-04-13
"388",1725-07-13
"389",1726-09-13
"390",1726-12-13
"391",1727-06-13
"392",1728-02-13
"393",1728-08-13
"394",1729-05-13
"395",1730-01-13
"396",1730-10-13
"397",1731-04-13
"398",1731-07-13
"399",1732-06-13
"400",1733-02-13
"401",1733-03-13
"402",1733-11-13
"403",1734-08-13
"404",1735-05-13
"405",1736-01-13
"406",1736-04-13
"407",1736-07-13
"408",1737-09-13
"409",1737-12-13
"410",1738-06-13
"411",1739-02-13
"412",1739-03-13
"413",1739-11-13
"414",1740-05-13
"415",1741-01-13
"416",1741-10-13
"417",1742-04-13
"418",1742-07-13
"419",1743-09-13
"420",1743-12-13
"421",1744-03-13
"422",1744-11-13
"423",1745-08-13
"424",1746-05-13
"425",1747-01-13
"426",1747-10-13
"427",1748-09-13
"428",1748-12-13
"429",1749-06-13
"430",1750-02-13
"431",1750-03-13
"432",1750-11-13
"433",1751-08-13
"434",1752-10-13
"435",1753-04-13
"436",1753-07-13
"437",1754-09-13
"438",1754-12-13
"439",1755-06-13
"440",1756-02-13
"441",1756-08-13
"442",1757-05-13
"443",1758-01-13
"444",1758-10-13
"445",1759-04-13
"446",1759-07-13
"447",1760-06-13
"448",1761-02-13
"449",1761-03-13
"450",1761-11-13
"451",1762-08-13
"452",1763-05-13
"453",1764-01-13
"454",1764-04-13
"455",1764-07-13
"456",1765-09-13
"457",1765-12-13
"458",1766-06-13
"459",1767-02-13
"460",1767-03-13
"461",1767-11-13
"462",1768-05-13
"463",1769-01-13
"464",1769-10-13
"465",1770-04-13
"466",1770-07-13
"467",1771-09-13
"468",1771-12-13
"469",1772-03-13
"470",1772-11-13
"471",1773-08-13
"472",1774-05-13
"473",1775-01-13
"474",1775-10-13
"475",1776-09-13
"476",1776-12-13
"477",1777-06-13
"478",1778-02-13
"479",1778-03-13
"480",1778-11-13
"481",1779-08-13
"482",1780-10-13
"483",1781-04-13
"484",1781-07-13
"485",1782-09-13
"486",1782-12-13
"487",1783-06-13
"488",1784-02-13
"489",1784-08-13
"490",1785-05-13
"491",1786-01-13
"492",1786-10-13
"493",1787-04-13
"494",1787-07-13
"495",1788-06-13
"496",1789-02-13
"497",1789-03-13
"498",1789-11-13
"499",1790-08-13
"500",1791-05-13
"501",1792-01-13
"502",1792-04-13
"503",1792-07-13
"504",1793-09-13
"505",1793-12-13
"506",1794-06-13
"507",1795-02-13
"508",1795-03-13
"509",1795-11-13
"510",1796-05-13
"511",1797-01-13
"512",1797-10-13
"513",1798-04-13
"514",1798-07-13
"515",1799-09-13
"516",1799-12-13
"517",1800-06-13
"518",1801-02-13
"519",1801-03-13
"520",1801-11-13
"521",1802-08-13
"522",1803-05-13
"523",1804-01-13
"524",1804-04-13
"525",1804-07-13
"526",1805-09-13
"527",1805-12-13
"528",1806-06-13
"529",1807-02-13
"530",1807-03-13
"531",1807-11-13
"532",1808-05-13
"533",1809-01-13
"534",1809-10-13
"535",1810-04-13
"536",1810-07-13
"537",1811-09-13
"538",1811-12-13
"539",1812-03-13
"540",1812-11-13
"541",1813-08-13
"542",1814-05-13
"543",1815-01-13
"544",1815-10-13
"545",1816-09-13
"546",1816-12-13
"547",1817-06-13
"548",1818-02-13
"549",1818-03-13
"550",1818-11-13
"551",1819-08-13
"552",1820-10-13
"553",1821-04-13
"554",1821-07-13
"555",1822-09-13
"556",1822-12-13
"557",1823-06-13
"558",1824-02-13
"559",1824-08-13
"560",1825-05-13
"561",1826-01-13
"562",1826-10-13
"563",1827-04-13
"564",1827-07-13
"565",1828-06-13
"566",1829-02-13
"567",1829-03-13
"568",1829-11-13
"569",1830-08-13
"570",1831-05-13
"571",1832-01-13
"572",1832-04-13
"573",1832-07-13
"574",1833-09-13
"575",1833-12-13
"576",1834-06-13
"577",1835-02-13
"578",1835-03-13
"579",1835-11-13
"580",1836-05-13
"581",1837-01-13
"582",1837-10-13
"583",1838-04-13
"584",1838-07-13
"585",1839-09-13
"586",1839-12-13
"587",1840-03-13
"588",1840-11-13
"589",1841-08-13
"590",1842-05-13
"591",1843-01-13
"592",1843-10-13
"593",1844-09-13
"594",1844-12-13
"595",1845-06-13
"596",1846-02-13
"597",1846-03-13
"598",1846-11-13
"599",1847-08-13
"600",1848-10-13
"601",1849-04-13
"602",1849-07-13
"603",1850-09-13
"604",1850-12-13
"605",1851-06-13
"606",1852-02-13
"607",1852-08-13
"608",1853-05-13
"609",1854-01-13
"610",1854-10-13
"611",1855-04-13
"612",1855-07-13
"613",1856-06-13
"614",1857-02-13
"615",1857-03-13
"616",1857-11-13
"617",1858-08-13
"618",1859-05-13
"619",1860-01-13
"620",1860-04-13
"621",1860-07-13
"622",1861-09-13
"623",1861-12-13
"624",1862-06-13
"625",1863-02-13
"626",1863-03-13
"627",1863-11-13
"628",1864-05-13
"629",1865-01-13
"630",1865-10-13
"631",1866-04-13
"632",1866-07-13
"633",1867-09-13
"634",1867-12-13
"635",1868-03-13
"636",1868-11-13
"637",1869-08-13
"638",1870-05-13
"639",1871-01-13
"640",1871-10-13
"641",1872-09-13
"642",1872-12-13
"643",1873-06-13
"644",1874-02-13
"645",1874-03-13
"646",1874-11-13
"647",1875-08-13
"648",1876-10-13
"649",1877-04-13
"650",1877-07-13
"651",1878-09-13
"652",1878-12-13
"653",1879-06-13
"654",1880-02-13
"655",1880-08-13
"656",1881-05-13
"657",1882-01-13
"658",1882-10-13
"659",1883-04-13
"660",1883-07-13
"661",1884-06-13
"662",1885-02-13
"663",1885-03-13
"664",1885-11-13
"665",1886-08-13
"666",1887-05-13
"667",1888-01-13
"668",1888-04-13
"669",1888-07-13
"670",1889-09-13
"671",1889-12-13
"672",1890-06-13
"673",1891-02-13
"674",1891-03-13
"675",1891-11-13
"676",1892-05-13
"677",1893-01-13
"678",1893-10-13
"679",1894-04-13
"680",1894-07-13
"681",1895-09-13
"682",1895-12-13
"683",1896-03-13
"684",1896-11-13
"685",1897-08-13
"686",1898-05-13
"687",1899-01-13
"688",1899-10-13
"689",1900-04-13
"690",1900-07-13
"691",1901-09-13
"692",1901-12-13
"693",1902-06-13
"694",1903-02-13
"695",1903-03-13
"696",1903-11-13
"697",1904-05-13
"698",1905-01-13
"699",1905-10-13
"700",1906-04-13
"701",1906-07-13
"702",1907-09-13
"703",1907-12-13
"704",1908-03-13
"705",1908-11-13
"706",1909-08-13
"707",1910-05-13
"708",1911-01-13
"709",1911-10-13
"710",1912-09-13
"711",1912-12-13
"712",1913-06-13
"713",1914-02-13
"714",1914-03-13
"715",1914-11-13
"716",1915-08-13
"717",1916-10-13
"718",1917-04-13
"719",1917-07-13
"720",1918-09-13
"721",1918-12-13
"722",1919-06-13
"723",1920-02-13
"724",1920-08-13
"725",1921-05-13
"726",1922-01-13
"727",1922-10-13
"728",1923-04-13
"729",1923-07-13
"730",1924-06-13
"731",1925-02-13
"732",1925-03-13
"733",1925-11-13
"734",1926-08-13
"735",1927-05-13
"736",1928-01-13
"737",1928-04-13
"738",1928-07-13
"739",1929-09-13
"740",1929-12-13
"741",1930-06-13
"742",1931-02-13
"743",1931-03-13
"744",1931-11-13
"745",1932-05-13
"746",1933-01-13
"747",1933-10-13
"748",1934-04-13
"749",1934-07-13
"750",1935-09-13
"751",1935-12-13
"752",1936-03-13
"753",1936-11-13
"754",1937-08-13
"755",1938-05-13
"756",1939-01-13
"757",1939-10-13
"758",1940-09-13
"759",1940-12-13
"760",1941-06-13
"761",1942-02-13
"762",1942-03-13
"763",1942-11-13
"764",1943-08-13
"765",1944-10-13
"766",1945-04-13
"767",1945-07-13
"768",1946-09-13
"769",1946-12-13
"770",1947-06-13
"771",1948-02-13
"772",1948-08-13
"773",1949-05-13
"774",1950-01-13
"775",1950-10-13
"776",1951-04-13
"777",1951-07-13
"778",1952-06-13
"779",1953-02-13
"780",1953-03-13
"781",1953-11-13
"782",1954-08-13
"783",1955-05-13
"784",1956-01-13
"785",1956-04-13
"786",1956-07-13
"787",1957-09-13
"788",1957-12-13
"789",1958-06-13
"790",1959-02-13
"791",1959-03-13
"792",1959-11-13
"793",1960-05-13
"794",1961-01-13
"795",1961-10-13
"796",1962-04-13
"797",1962-07-13
"798",1963-09-13
"799",1963-12-13
"800",1964-03-13
"801",1964-11-13
"802",1965-08-13
"803",1966-05-13
"804",1967-01-13
"805",1967-10-13
"806",1968-09-13
"807",1968-12-13
"808",1969-06-13
"809",1970-02-13
"810",1970-03-13
"811",1970-11-13
"812",1971-08-13
"813",1972-10-13
"814",1973-04-13
"815",1973-07-13
"816",1974-09-13
"817",1974-12-13
"818",1975-06-13
"819",1976-02-13
"820",1976-08-13
"821",1977-05-13
"822",1978-01-13
"823",1978-10-13
"824",1979-04-13
"825",1979-07-13
"826",1980-06-13
"827",1981-02-13
"828",1981-03-13
"829",1981-11-13
"830",1982-08-13
"831",1983-05-13
"832",1984-01-13
"833",1984-04-13
"834",1984-07-13
"835",1985-09-13
"836",1985-12-13
"837",1986-06-13
"838",1987-02-13
"839",1987-03-13
"840",1987-11-13
"841",1988-05-13
"842",1989-01-13
"843",1989-10-13
"844",1990-04-13
"845",1990-07-13
"846",1991-09-13
"847",1991-12-13
"848",1992-03-13
"849",1992-11-13
"850",1993-08-13
"851",1994-05-13
"852",1995-01-13
"853",1995-10-13
"854",1996-09-13
"855",1996-12-13
"856",1997-06-13
"857",1998-02-13
"858",1998-03-13
"859",1998-11-13
"860",1999-08-13
"861",2000-10-13
"862",2001-04-13
"863",2001-07-13
"864",2002-09-13
"865",2002-12-13
"866",2003-06-13
"867",2004-02-13
"868",2004-08-13
"869",2005-05-13
"870",2006-01-13
"871",2006-10-13
"872",2007-04-13
"873",2007-07-13
"874",2008-06-13
"875",2009-02-13
"876",2009-03-13
"877",2009-11-13
"878",2010-08-13
"879",2011-05-13
"880",2012-01-13
"881",2012-04-13
"882",2012-07-13
"883",2013-09-13
"884",2013-12-13
"885",2014-06-13
"886",2015-02-13
"887",2015-03-13
"888",2015-11-13
"889",2016-05-13
"890",2017-01-13
"891",2017-10-13
"892",2018-04-13
"893",2018-07-13
"894",2019-09-13
"895",2019-12-13
"896",2020-03-13
"897",2020-11-13
"898",2021-08-13
"899",2022-05-13
"900",2023-01-13
"901",2023-10-13
"902",2024-09-13
"903",2024-12-13
"904",2025-06-13
"905",2026-02-13
"906",2026-03-13
"907",2026-11-13
"908",2027-08-13
"909",2028-10-13
"910",2029-04-13
"911",2029-07-13
"912",2030-09-13
"913",2030-12-13
"914",2031-06-13
"915",2032-02-13
"916",2032-08-13
"917",2033-05-13
"918",2034-01-13
"919",2034-10-13
"920",2035-04-13
"921",2035-07-13
"922",2036-06-13
"923",2037-02-13
"924",2037-03-13
"925",2037-11-13
"926",2038-08-13
"927",2039-05-13
"928",2040-01-13
"929",2040-04-13
"930",2040-07-13
"931",2041-09-13
"932",2041-12-13
"933",2042-06-13
"934",2043-02-13
"935",2043-03-13
"936",2043-11-13
"937",2044-05-13
"938",2045-01-13
"939",2045-10-13
"940",2046-04-13
"941",2046-07-13
"942",2047-09-13
"943",2047-12-13
"944",2048-03-13
"945",2048-11-13
"946",2049-08-13
"947",2050-05-13
"948",2051-01-13
"949",2051-10-13
"950",2052-09-13
"951",2052-12-13
"952",2053-06-13
"953",2054-02-13
"954",2054-03-13
"955",2054-11-13
"956",2055-08-13
"957",2056-10-13
"958",2057-04-13
"959",2057-07-13
"960",2058-09-13
"961",2058-12-13
"962",2059-06-13
"963",2060-02-13
"964",2060-08-13
"965",2061-05-13
"966",2062-01-13
"967",2062-10-13
"968",2063-04-13
"969",2063-07-13
"970",2064-06-13
"971",2065-02-13
"972",2065-03-13
"973",2065-11-13
"974",2066-08-13
"975",2067-05-13
"976",2068-01-13
"977",2068-04-13
"978",2068-07-13
"979",2069-09-13
"980",2069-12-13
"981",2070-06-13
"982",2071-02-13
"983",2071-03-13
"984",2071-11-13
"985",2072-05-13
"986",2073-01-13
"987",2073-10-13
"988",2074-04-13
"989",2074-07-13
"990",2075-09-13
"991",2075-12-13
"992",2076-03-13
"993",2076-11-13
"994",2077-08-13
"995",2078-05-13
"996",2079-01-13
"997",2079-10-13
"998",2080-09-13
"999",2080-12-13
"1000",2081-06-13
"1001",2082-02-13
"1002",2082-03-13
"1003",2082-11-13
"1004",2083-08-13
"1005",2084-10-13
"1006",2085-04-13
"1007",2085-07-13
"1008",2086-09-13
"1009",2086-12-13
"1010",2087-06-13
"1011",2088-02-13
"1012",2088-08-13
"1013",2089-05-13
"1014",2090-01-13
"1015",2090-10-13
"1016",2091-04-13
"1017",2091-07-13
"1018",2092-06-13
"1019",2093-02-13
"1020",2093-03-13
"1021",2093-11-13
"1022",2094-08-13
"1023",2095-05-13
"1024",2096-01-13
"1025",2096-04-13
"1026",2096-07-13
"1027",2097-09-13
"1028",2097-12-13
"1029",2098-06-13
"1030",2099-02-13
"1031",2099-03-13
"1032",2099-11-13
"1033",2100-08-13
"1034",2101-05-13
"1035",2102-01-13
"1036",2102-10-13
"1037",2103-04-13
"1038",2103-07-13
"1039",2104-06-13
"1040",2105-02-13
"1041",2105-03-13
"1042",2105-11-13
"1043",2106-08-13
"1044",2107-05-13
"1045",2108-01-13
"1046",2108-04-13
"1047",2108-07-13
"1048",2109-09-13
"1049",2109-12-13
"1050",2110-06-13
"1051",2111-02-13
"1052",2111-03-13
"1053",2111-11-13
"1054",2112-05-13
"1055",2113-01-13
"1056",2113-10-13
"1057",2114-04-13
"1058",2114-07-13
"1059",2115-09-13
"1060",2115-12-13
"1061",2116-03-13
"1062",2116-11-13
"1063",2117-08-13
"1064",2118-05-13
"1065",2119-01-13
"1066",2119-10-13
"1067",2120-09-13
"1068",2120-12-13
"1069",2121-06-13
"1070",2122-02-13
"1071",2122-03-13
"1072",2122-11-13
"1073",2123-08-13
"1074",2124-10-13
"1075",2125-04-13
"1076",2125-07-13
"1077",2126-09-13
"1078",2126-12-13
"1079",2127-06-13
"1080",2128-02-13
"1081",2128-08-13
"1082",2129-05-13
"1083",2130-01-13
"1084",2130-10-13
"1085",2131-04-13
"1086",2131-07-13
"1087",2132-06-13
"1088",2133-02-13
"1089",2133-03-13
"1090",2133-11-13
"1091",2134-08-13
"1092",2135-05-13
"1093",2136-01-13
"1094",2136-04-13
"1095",2136-07-13
"1096",2137-09-13
"1097",2137-12-13
"1098",2138-06-13
"1099",2139-02-13
"1100",2139-03-13
"1101",2139-11-13
"1102",2140-05-13
"1103",2141-01-13
"1104",2141-10-13
"1105",2142-04-13
"1106",2142-07-13
"1107",2143-09-13
"1108",2143-12-13
"1109",2144-03-13
"1110",2144-11-13
"1111",2145-08-13
"1112",2146-05-13
"1113",2147-01-13
"1114",2147-10-13
"1115",2148-09-13
"1116",2148-12-13
"1117",2149-06-13
"1118",2150-02-13
"1119",2150-03-13
"1120",2150-11-13
"1121",2151-08-13
"1122",2152-10-13
"1123",2153-04-13
"1124",2153-07-13
"1125",2154-09-13
"1126",2154-12-13
"1127",2155-06-13
"1128",2156-02-13
"1129",2156-08-13
"1130",2157-05-13
"1131",2158-01-13
"1132",2158-10-13
"1133",2159-04-13
"1134",2159-07-13
"1135",2160-06-13
"1136",2161-02-13
"1137",2161-03-13
"1138",2161-11-13
"1139",2162-08-13
"1140",2163-05-13
"1141",2164-01-13
"1142",2164-04-13
"1143",2164-07-13
"1144",2165-09-13
"1145",2165-12-13
"1146",2166-06-13
"1147",2167-02-13
"1148",2167-03-13
"1149",2167-11-13
"1150",2168-05-13
"1151",2169-01-13
"1152",2169-10-13
"1153",2170-04-13
"1154",2170-07-13
"1155",2171-09-13
"1156",2171-12-13
"1157",2172-03-13
"1158",2172-11-13
"1159",2173-08-13
"1160",2174-05-13
"1161",2175-01-13
"1162",2175-10-13
"1163",2176-09-13
"1164",2176-12-13
"1165",2177-06-13
"1166",2178-02-13
"1167",2178-03-13
"1168",2178-11-13
"1169",2179-08-13
"1170",2180-10-13
"1171",2181-04-13
"1172",2181-07-13
"1173",2182-09-13
"1174",2182-12-13
"1175",2183-06-13
"1176",2184-02-13
"1177",2184-08-13
"1178",2185-05-13
"1179",2186-01-13
"1180",2186-10-13
"1181",2187-04-13
"1182",2187-07-13
"1183",2188-06-13
"1184",2189-02-13
"1185",2189-03-13
"1186",2189-11-13
"1187",2190-08-13
"1188",2191-05-13
"1189",2192-01-13
"1190",2192-04-13
"1191",2192-07-13
"1192",2193-09-13
"1193",2193-12-13
"1194",2194-06-13
"1195",2195-02-13
"1196",2195-03-13
"1197",2195-11-13
"1198",2196-05-13
"1199",2197-01-13
"1200",2197-10-13
"1201",2198-04-13
"1202",2198-07-13
"1203",2199-09-13
"1204",2199-12-13
"1205",2200-06-13
"1206",2201-02-13
"1207",2201-03-13
"1208",2201-11-13
"1209",2202-08-13
"1210",2203-05-13
"1211",2204-01-13
"1212",2204-04-13
"1213",2204-07-13
"1214",2205-09-13
"1215",2205-12-13
"1216",2206-06-13
"1217",2207-02-13
"1218",2207-03-13
"1219",2207-11-13
"1220",2208-05-13
"1221",2209-01-13
"1222",2209-10-13
"1223",2210-04-13
"1224",2210-07-13
"1225",2211-09-13
"1226",2211-12-13
"1227",2212-03-13
"1228",2212-11-13
"1229",2213-08-13
"1230",2214-05-13
"1231",2215-01-13
"1232",2215-10-13
"1233",2216-09-13
"1234",2216-12-13
"1235",2217-06-13
"1236",2218-02-13
"1237",2218-03-13
"1238",2218-11-13
"1239",2219-08-13
"1240",2220-10-13
"1241",2221-04-13
"1242",2221-07-13
"1243",2222-09-13
"1244",2222-12-13
"1245",2223-06-13
"1246",2224-02-13
"1247",2224-08-13
"1248",2225-05-13
"1249",2226-01-13
"1250",2226-10-13
"1251",2227-04-13
"1252",2227-07-13
"1253",2228-06-13
"1254",2229-02-13
"1255",2229-03-13
"1256",2229-11-13
"1257",2230-08-13
"1258",2231-05-13
"1259",2232-01-13
"1260",2232-04-13
"1261",2232-07-13
"1262",2233-09-13
"1263",2233-12-13
"1264",2234-06-13
"1265",2235-02-13
"1266",2235-03-13
"1267",2235-11-13
"1268",2236-05-13
"1269",2237-01-13
"1270",2237-10-13
"1271",2238-04-13
"1272",2238-07-13
"1273",2239-09-13
"1274",2239-12-13
"1275",2240-03-13
"1276",2240-11-13
"1277",2241-08-13
"1278",2242-05-13
"1279",2243-01-13
"1280",2243-10-13
"1281",2244-09-13
"1282",2244-12-13
"1283",2245-06-13
"1284",2246-02-13
"1285",2246-03-13
"1286",2246-11-13
"1287",2247-08-13
"1288",2248-10-13
"1289",2249-04-13
"1290",2249-07-13
"1291",2250-09-13
"1292",2250-12-13
"1293",2251-06-13
"1294",2252-02-13
"1295",2252-08-13
"1296",2253-05-13
"1297",2254-01-13
"1298",2254-10-13
"1299",2255-04-13
"1300",2255-07-13
"1301",2256-06-13
"1302",2257-02-13
"1303",2257-03-13
"1304",2257-11-13
"1305",2258-08-13
"1306",2259-05-13
"1307",2260-01-13
"1308",2260-04-13
"1309",2260-07-13
"1310",2261-09-13
"1311",2261-12-13
"1312",2262-06-13
"1313",2263-02-13
"1314",2263-03-13
"1315",2263-11-13
"1316",2264-05-13
"1317",2265-01-13
"1318",2265-10-13
"1319",2266-04-13
"1320",2266-07-13
"1321",2267-09-13
"1322",2267-12-13
"1323",2268-03-13
"1324",2268-11-13
"1325",2269-08-13
"1326",2270-05-13
"1327",2271-01-13
"1328",2271-10-13
"1329",2272-09-13
"1330",2272-12-13
"1331",2273-06-13
"1332",2274-02-13
"1333",2274-03-13
"1334",2274-11-13
"1335",2275-08-13
"1336",2276-10-13
"1337",2277-04-13
"1338",2277-07-13
"1339",2278-09-13
"1340",2278-12-13
"1341",2279-06-13
"1342",2280-02-13
"1343",2280-08-13
"1344",2281-05-13
"1345",2282-01-13
"1346",2282-10-13
"1347",2283-04-13
"1348",2283-07-13
"1349",2284-06-13
"1350",2285-02-13
"1351",2285-03-13
"1352",2285-11-13
"1353",2286-08-13
"1354",2287-05-13
"1355",2288-01-13
"1356",2288-04-13
"1357",2288-07-13
"1358",2289-09-13
"1359",2289-12-13
"1360",2290-06-13
"1361",2291-02-13
"1362",2291-03-13
